shapeid,partid,x,y
"0","0",-8.67555335587982,41.2333990976556
"0","0",-8.67550056743292,41.2334068842487
"0","0",-8.67539918364166,41.2330240439838
"0","0",-8.67545197208831,41.2330162574379
"0","0",-8.67555335587982,41.2333990976556
"1","0",-8.67629864921617,41.2362987992459
"1","0",-8.67624586076926,41.236306585839
"1","0",-8.676144476978,41.2359237455741
"1","0",-8.67619726542465,41.2359159590282
"1","0",-8.67629864921617,41.2362987992459
"2","0",-8.6770639963584,41.2392614230825
"2","0",-8.67701120791149,41.2392692096757
"2","0",-8.67690982412024,41.2388863694108
"2","0",-8.67696261256689,41.2388785828649
"2","0",-8.6770639963584,41.2392614230825
